,E_l0m,l0m,E_l0,l0,E_l1,l1,E_l1m,l1m,E_l2m,l2m,E_s0,s0,E_s1,s1,E_s2,s2
10,0.18397795370762438,2.522720630833122e-19,,,5.284625993737925,7.55970194340491e-24,0.022089990004027355,8.418479232217782e-21,0.012821622130425063,1.6054895260116528e-23,0.01043109591731743,6.364119381231065e-21,0.0190117635035418,7.55970194340491e-21,1.5908503502319729,1.4417119713805025e-23
11,0.23042280454459257,2.2653754353388956e-19,,,5.384692360515247,5.966242955331794e-24,0.03154871465289529,6.78852936459214e-21,0.01698801227755209,1.826763152870834e-23,0.013311783708869067,5.8392240609313855e-21,0.025666617317595116,7.087079258328211e-21,1.848427597365229,1.787872105733408e-23
12,0.2996252513789363,1.9071016055576811e-19,,,5.590545354778929,4.70865852497006e-24,0.03951312189095164,5.714909347311997e-21,0.02336874759925585,2.123747123935598e-23,0.01730968663433675,5.474163404426341e-21,0.03400699269399555,6.78852936459214e-21,2.2720374135876353,2.078533408421838e-23
13,0.3752650213994195,1.6760966784068687e-19,,,5.590545354778929,3.559605500204626e-24,0.05042520330019141,4.811084565435333e-21,0.03154871465289529,2.416448646450279e-23,0.023811243562293666,5.022669241382635e-21,0.0467800950394788,6.364119381231065e-21,2.8994911817391267,2.416448646450279e-23
14,0.49720750822484594,1.4110185078357549e-19,,,,,0.06435080313023564,3.796988242516037e-21,0.040261317610448585,2.7494912153714635e-23,0.03154871465289529,4.70865852497006e-21,0.0631549407415756,6.0960248537488915e-21,3.5639764601377895,2.5775966181331216e-23
15,0.6345180660189946,1.1878630004490227e-19,,,,,0.07762835202325631,3.0618316527628635e-21,0.05235292328691059,3.1964866664596357e-23,0.04180047940990168,4.4142793481399345e-21,0.08687607741995963,5.8392240609313855e-21,4.1410258635063455,2.5775966181331216e-23
16,0.8250816815252557,1e-19,,,,,0.09364546741787548,2.522720630833122e-21,0.06936502218805408,3.637036533920685e-23,0.054354338650226965,4.138304372695784e-21,0.12642500919465777,5.593241243560759e-21,4.811506303149236,2.4690129310614983e-23
17,1.052939113365835,8.418479232217783e-20,,,,,0.10480128284813212,1.9485862163414883e-21,0.09541867931608264,4.320301129925703e-23,0.06936502218805408,3.9639744004065665e-21,0.14416487855924265,6.364119381231065e-21,5.486653521318084,2.416448646450279e-23
18,1.3437224474625487,6.788529364592139e-20,,,,,0.11950692597056374,1.3228034749073684e-21,0.12881891395819065,4.915738648921725e-23,0.0836771586147495,3.796988242516037e-21,0.1675068557270983,6.78852936459214e-21,6.256536927591426,2.6336663063706507e-23
19,1.6829423777910681,5.474163404426341e-20,,,,,0.12642500919465777,9.374813069860568e-22,0.1675068557270983,5.593241243560759e-23,0.10480128284813212,3.6370365339206855e-21,0.2020686693898047,7.087079258328211e-21,7.134449837997315,3.4096537633759744e-23
