,E,HIso,HeIso,sigmaMF,sigmaModMF,sigmaR2,sigmaHFD_B
144,0.010550179002672452,H,4He,0.30644989858391186,0.4819344607135769,0.06810406838741849,0.37521338546873695
145,0.012647132834317702,H,4He,0.2862600513816733,0.4554175831358083,0.060649491872420865,0.3526239688782691
146,0.015160877259841776,H,4He,0.2641781490740002,0.425634699072736,0.05303729287614983,0.3273597096677793
147,0.018174253587681845,H,4He,0.239447708476807,0.3910866344589063,0.046048780164532135,0.29957761715014775
148,0.021786568666727252,H,4He,0.21377905402855502,0.3553402660498129,0.04065343123356678,0.2698212571607807
149,0.02611686757753466,H,4He,0.18782674039961925,0.31725176294390695,0.03830618629180545,0.23904671702743813
150,0.03130785680372791,H,4He,0.1633529624486046,0.2798016430050364,0.04115794388684203,0.20888431670873608
151,0.037530607173039035,H,4He,0.1430360732229325,0.24370170941944178,0.05272990776739286,0.1810553891361971
152,0.04499019155502361,H,4He,0.13025419163209606,0.21328254429881435,0.07544482822128025,0.16122082929365109
153,0.05393244310770938,H,4He,0.13168325695994182,0.19385995738169928,0.11773865940270063,0.15357361266434727
154,0.06465205679351049,H,4He,0.15437498054608606,0.19292640675851086,0.1861646322177195,0.16548847274892808
155,0.07750230115264002,H,4He,0.2080612785467632,0.22015052272199687,0.2908856250137058,0.20714701658311035
156,0.09290666038883737,H,4He,0.30636251264881276,0.2898775701834049,0.44544052514700333,0.29186139328504856
157,0.11137279043633574,H,4He,0.46599245734653433,0.4188875693690172,0.6664511353060006,0.4367936437024916
158,0.13350924893503416,H,4He,0.7073722917044976,0.6284472960113029,0.9754346568742709,0.663346780899498
159,0.1600455504559356,H,4He,1.0618819792672887,0.9448969670943592,1.3972894651796088,0.9977912111631098
160,0.1918562079036751,H,4He,1.5539343301803392,1.399429249221476,1.9607583391252459,1.4729758373862354
161,0.22998955238879043,H,4He,2.2180938016358303,2.024389899549939,2.6993153017597797,2.1171319846329495
162,0.27570228133849695,H,4He,3.0928608308924104,2.8664776009817725,3.6459433004393262,2.9763441447287375
163,0.33050087339078826,H,4He,4.213274925215714,3.949539077711341,4.833735938074141,4.0801641564493245
164,0.396191234913883,H,4He,5.606457298755884,5.31273021705962,6.289905657435076,5.459702707259248
165,0.4749382142690658,H,4He,7.288767926976037,6.962657714879119,8.024513180796674,7.13177553360046
166,0.5693369451298401,H,4He,9.245121973224125,8.90285360706148,10.033737643901357,9.092679530148965
167,0.6824983700009065,H,4He,11.461471320693937,11.106610773432264,12.280720092887275,11.310883535457199
168,0.8181517623938234,H,4He,13.86371022681067,13.502135218332553,14.702884974993411,13.720354441369176
169,0.9807676263127636,H,4He,16.358221161141223,16.00258122999977,17.203504515012146,16.225143271366367
170,1.175705023245006,H,4He,18.825473217482006,18.48038724119712,19.673530768629238,18.710093137175456
171,1.409388181867592,H,4He,21.163598934078756,20.827366610936934,22.013731079585472,21.069482945390433
172,1.6895182107035145,H,4He,23.314074510175477,22.98990701084873,24.157406456767244,23.227774015538635
173,2.0253268907905286,H,4He,25.25143907591697,24.931149781429706,26.091377611408042,25.168485027788556
174,2.4278809121869003,H,4He,27.009785548362085,26.685945339314742,27.857399440087427,26.93065148714247
175,2.910446580532337,H,4He,28.652830804158626,28.335011050058256,29.521820755649042,28.58108743984808
176,3.488927012693738,H,4He,30.242655169588065,29.919098968940943,31.135378357979775,30.175140265139227
177,4.18238622942793,H,4He,31.77691390101849,31.45259831367016,32.69911724200163,31.71303112034931
178,5.01367741671467,H,4He,33.2177556676483,32.892835807678196,34.16327261381126,33.15800185103148
179,6.010196060327253,H,4He,34.52195995563252,34.19849437707506,35.48044772015972,34.46763664018662
180,7.204782773448418,H,4He,35.68964137289328,35.36620644212131,36.672954201449244,35.63963558343838
181,8.636805570324883,H,4He,36.746492690511374,36.420657553981655,37.756803492378594,36.69972005311802
182,10.353457252659387,H,4He,37.70976643834057,37.37931567820199,38.73945800034919,37.662892937547795
183,12.411310664553149,H,4He,38.56696051142954,38.23646983387846,39.62816135764045,38.52392293506261
184,14.878183069957991,H,4He,39.3194852962933,38.9864742230158,40.41118145437621,39.27693062284988
185,17.83537109383559,H,4He,39.968807015014896,39.638939065600425,41.090065877746326,39.93229483009913
186,21.380329880275124,H,4He,40.5329850179504,40.201174366269065,41.69374623380558,40.493122979877455
187,25.629884760142616,H,4He,41.00242352308851,40.671549102324725,42.194459516843885,40.964503283476596
188,30.724081269869444,H,4He,41.38649653285175,41.05346461958963,42.602491156648775,41.34663121012601
189,36.83080040006742,H,4He,41.68708920171467,41.34881097357342,42.929708330910664,41.644658536753774
190,44.151291171069424,H,4He,41.897429746396774,41.56256229123273,43.16207975272787,41.85779421870486
191,52.92680286331722,H,4He,42.02193640138186,41.688795966649714,43.30161001015868,41.98401666109356
192,63.44653547002013,H,4He,42.049410264638965,41.71956587263757,43.337735346667976,42.01639935562002
193,76.05717038197504,H,4He,41.97690491654486,41.648182023221764,43.253348425946776,41.94531456911666
194,91.17429539152972,H,4He,41.79706972371193,41.46887949579314,43.04894525733807,41.76546689604681
195,109.2961005306079,H,4He,41.52789911568732,41.20663646159341,42.76041912148463,41.504682275614094
196,131.01979609382886,H,4He,41.2577212825811,40.9436795737633,42.491846244260806,41.24531726499676
197,157.0612939082959,H,4He,41.09255210272391,40.77834214013688,42.33666038923484,41.08703082460119
198,188.27880045304119,H,4He,40.96090416699219,40.64173420074876,42.13395078367521,40.94940965198475
199,225.70109934745543,H,4He,40.34304515584937,40.02648430068522,41.241068447015984,40.298224601143296
200,3.6227699051683853e-06,D,3He,122.07567199047395,119.15086494879327,93.34440854581149,116.05672913153269
201,4.342831738421415e-06,D,3He,122.0749854137376,119.15019928836988,93.34388875456666,116.05608177630893
202,5.206013078924412e-06,D,3He,122.07416233107129,119.14940131579421,93.3432654174045,116.05530576010861
203,6.240760363371484e-06,D,3He,122.07317569546144,119.14844475211653,93.34251841644618,116.05437551366684
204,7.481174042896418e-06,D,3He,122.07199297087786,119.14729810313686,93.341622849622,116.05326038613622
205,8.968132375118345e-06,D,3He,122.07057518485718,119.14592357781649,93.34054926146244,116.05192363790263
206,1.0750638581121347e-05,D,3He,122.06887561332648,119.14427588442861,93.33926240033337,116.0503212296071
207,1.2887435763387655e-05,D,3He,122.06683834788163,119.14230077328172,93.33771979261067,116.04840037131589
